Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population,Price,Address
97429.9,4.69,7.79,3.76,35772.42,4382322.21,East Lucas
75277.01,5.82,5.39,4.97,39268.32,4124859.88,East Lucas
78259.23,6.54,7.58,3.6,30076.5,4244434.6,East Lucas
73952.27,6.23,5.79,2.6,27049.09,3980398.25,Lake Christinaport
75521.96,5.18,7.06,3.84,30838.95,4048170.92,Lake Kathleen
65180.03,6.66,7.12,3.63,37070.81,4199076.45,North Jasonville
59545.04,5.34,7.4,5.62,34167.72,3740924.02,Lake Kathleen
75040.77,5.23,8.0,4.77,37931.28,4351469.21,North Jasonville
47075.38,6.04,6.96,4.5,31899.33,3567658.59,South Anthony
76470.48,6.92,5.81,2.7,34194.83,4166508.89,New Deniseton
74218.57,6.3,6.52,5.55,27710.54,3947619.4,East Lucas
62306.02,6.9,7.4,7.0,31103.8,4161886.58,East Lucas
70593.93,6.45,6.17,4.18,38522.64,3975058.54,Lake Christinaport
60495.7,3.99,8.88,5.61,10885.82,3482895.12,North Jasonville
58637.49,5.65,8.29,5.2,32124.83,3920658.26,Rebeccaville
78761.04,5.02,6.76,4.49,29908.39,3986777.71,New Deniseton
70616.3,5.36,7.44,5.56,26319.86,3948651.84,Lake Kathleen
89670.62,6.48,6.71,3.7,52261.24,4956876.1,North Jasonville
96354.79,5.58,8.93,5.14,33955.46,5056044.87,New Deniseton
75867.15,6.59,5.07,5.93,44697.46,4199569.56,South Anthony
71808.51,4.69,8.03,3.65,50541.14,4251290.64,New Deniseton
86633.01,5.22,5.71,5.71,40261.49,4306044.21,Port Adamtown
50401.24,6.02,7.16,5.17,37724.37,3759215.91,North Jasonville
56230.26,5.61,8.11,5.52,41204.83,3967112.17,Port Adamtown
67146.0,6.2,6.5,2.0,37051.32,3958726.66,New Deniseton
72744.86,7.36,6.21,4.95,49536.76,4511173.25,New Deniseton
70361.7,5.43,6.26,2.67,32166.26,4018758.76,Port Adamtown
70549.24,4.23,7.01,4.59,30915.85,3810061.97,Jenniferstad
77190.72,5.39,6.91,6.57,28198.79,4154251.2,East Lucas
69360.53,6.92,5.79,5.44,49475.46,4300266.56,Jenniferstad
75390.55,8.14,5.54,2.94,59948.54,4553621.9,Rebeccaville
72096.04,5.56,6.39,4.83,33454.49,3955249.87,New Deniseton
63285.36,6.99,6.43,5.26,42195.22,4282340.61,Lake Kathleen
60546.88,6.23,6.89,2.95,49077.1,4071751.77,Rebeccaville
58529.12,6.42,7.26,5.52,46082.69,4074742.89,Lake Christinaport
73749.0,5.73,6.22,4.36,25128.46,4050376.06,New Michelleville
67338.55,5.57,8.75,2.85,46595.4,4354117.53,Lake Kathleen
88850.0,7.08,9.26,4.1,21008.75,4670771.96,Rebeccaville
71120.72,5.77,7.71,5.36,43615.92,4270231.74,New Deniseton
89861.32,5.93,7.32,4.2,35518.07,4673816.27,Port Adamtown
57997.79,5.75,5.91,4.34,26274.93,3732151.6,East Lucas
70680.29,7.34,7.48,4.59,36902.12,4500078.99,Jenniferstad
56469.78,5.39,6.72,4.23,24115.61,3598566.81,North Jasonville
68586.91,6.52,7.37,5.25,28700.52,4066582.23,Jenniferstad
79516.91,6.06,6.17,3.22,51743.91,4520638.21,South Anthony
66914.14,5.93,6.78,4.4,19847.43,3813941.27,North Jasonville
68246.46,7.47,6.2,4.63,28173.43,4048725.2,North Jasonville
75508.19,7.01,6.26,3.71,29191.99,4104144.81,Jenniferstad
91547.2,4.98,5.82,4.26,31884.06,4278868.75,New Deniseton
62079.47,6.35,7.38,3.94,53734.86,4326934.0,East Lucas
60533.5,4.44,7.71,5.18,24844.84,3535544.13,Lake Christinaport
64891.22,6.72,5.28,3.95,38397.82,4122812.14,New Michelleville
70149.86,5.26,4.79,3.92,36024.17,3746574.85,Lake Kathleen
63473.52,5.13,7.63,2.8,56574.71,4096671.3,South Anthony
74537.81,5.94,7.49,3.05,44143.1,4391979.07,Port Adamtown
79504.4,5.21,8.28,4.48,43738.48,4577784.28,Jenniferstad
58715.96,4.76,5.84,2.19,54502.62,3822737.03,New Michelleville
88435.54,6.09,8.51,4.51,33970.97,4713843.36,Lake Kathleen
56499.91,4.23,10.2,2.0,29245.12,3877339.61,New Deniseton
75088.86,5.62,6.53,2.41,35614.58,4016988.18,New Michelleville
72696.93,5.47,4.37,3.88,47051.5,4064010.32,North Jasonville
90792.39,5.68,5.49,4.64,37918.12,4331588.9,New Michelleville
64570.44,7.14,8.04,5.83,46789.3,4470239.17,North Jasonville
71037.69,4.84,8.18,3.88,53726.0,4465650.21,Lake Kathleen
75842.65,6.97,6.21,6.02,37295.91,4321138.48,Rebeccaville
79614.33,6.23,5.12,3.62,46300.3,4212501.99,South Anthony
68250.92,5.59,4.72,3.8,41713.46,3675588.28,North Jasonville
89256.86,5.97,5.63,4.66,41176.17,4505777.96,Port Adamtown
57870.72,7.68,6.71,4.66,40978.38,4351881.52,Rebeccaville
60677.75,6.6,6.59,4.36,40737.05,4112493.24,South Anthony
70577.19,4.63,5.53,3.97,27686.97,3368850.42,New Michelleville
60773.07,7.64,6.33,3.19,45336.62,4183965.03,Jenniferstad
53845.22,4.38,6.61,4.0,36152.34,3495351.88,North Jasonville
84381.95,7.43,5.92,6.81,54550.13,4961074.48,Lake Christinaport
78829.26,6.14,4.56,4.39,23821.13,3774427.28,Port Adamtown
45764.1,6.91,6.99,6.2,33551.52,3559737.41,Lake Kathleen
79160.86,6.19,5.33,5.15,46948.84,4363724.12,Lake Christinaport
81288.71,4.48,7.48,6.61,44960.92,4307414.38,Rebeccaville
57427.47,6.72,7.98,2.98,17608.27,3731325.72,Lake Christinaport
82359.99,5.77,6.82,5.52,31228.54,4207397.33,Jenniferstad
52943.7,5.88,7.7,5.0,42140.38,3694698.56,North Jasonville
63317.43,7.01,8.26,2.0,23675.56,4046255.37,Rebeccaville
66850.87,7.67,7.86,4.92,19353.35,4085763.53,East Lucas
73760.26,5.56,6.37,3.22,28736.29,3994761.62,North Jasonville
72765.75,4.56,7.58,3.37,54514.84,4276134.94,Lake Christinaport
70943.43,6.07,6.84,3.69,27121.18,3926255.31,Port Adamtown
59469.18,3.93,6.92,2.36,48534.14,3646249.86,South Anthony
85015.99,5.4,6.63,4.3,38567.14,4334132.3,Lake Kathleen
75683.97,7.12,6.75,4.37,32923.84,4467272.0,New Deniseton
62847.03,6.46,7.64,4.89,31192.24,3869479.12,Lake Christinaport
62523.63,6.73,5.01,2.0,32605.39,3710411.55,Lake Kathleen
83581.0,7.23,6.9,2.0,54774.54,4959530.04,East Lucas
75422.72,7.31,6.2,4.32,46332.98,4455468.17,Port Adamtown
58937.35,6.2,7.13,3.15,39147.07,4037168.28,New Michelleville
64414.44,6.84,6.35,4.37,49001.81,4302080.73,Jenniferstad
79541.52,6.02,8.48,2.15,30585.61,4429785.37,New Deniseton
47560.95,5.79,8.11,4.2,17281.42,3545663.41,Lake Kathleen
59344.61,6.47,8.02,3.45,38818.3,3988711.67,Port Adamtown
76264.43,5.46,7.14,3.45,45011.57,4249624.97,Rebeccaville
55548.61,5.55,7.24,6.1,14983.16,3340907.62,Jenniferstad
85706.45,6.8,7.42,4.62,48068.38,4881518.24,Jenniferstad
56692.88,7.5,8.47,2.0,44292.43,4440771.41,East Lucas
53819.02,5.64,7.96,2.65,52001.97,4014650.46,New Deniseton
54412.81,7.16,6.46,2.64,31090.34,3761242.07,Port Adamtown
69024.84,7.28,8.39,3.98,51461.71,4561297.05,Jenniferstad
64202.38,7.03,9.27,3.88,35137.06,4335067.76,Lake Christinaport
60362.95,6.34,5.79,3.62,55319.1,3889295.8,Jenniferstad
69760.36,5.06,7.79,2.0,32518.43,4074795.7,New Deniseton
60007.83,7.82,5.58,3.96,35030.83,4096567.6,Jenniferstad
71285.06,5.57,6.63,4.67,14815.7,3671411.1,East Lucas
75500.97,6.4,6.74,4.67,35645.59,4365721.7,New Deniseton
72408.23,4.29,6.7,5.96,36148.72,3817331.19,Jenniferstad
57068.42,5.58,7.4,4.44,38967.06,3863695.89,South Anthony
78199.85,4.98,6.67,4.11,39259.0,4004173.95,Lake Kathleen
70307.1,5.06,6.73,3.19,22677.94,3673257.69,Rebeccaville
77460.59,6.74,5.73,4.49,34115.99,4148521.6,South Anthony
78981.24,6.17,5.97,3.81,41472.65,4229629.2,North Jasonville
64445.54,6.83,7.04,4.06,45956.07,4238292.25,New Michelleville
76930.8,5.94,7.32,6.27,17262.42,3920106.39,East Lucas
61027.68,4.24,6.8,4.54,36683.7,3621377.27,Jenniferstad
74837.03,4.7,5.45,5.28,25504.34,3512038.93,New Michelleville
51304.3,5.47,8.07,2.16,41999.05,3695384.63,South Anthony
75803.49,5.12,7.14,2.58,42816.27,4402690.48,Jenniferstad
68861.21,6.48,6.73,3.26,28921.01,4008951.28,North Jasonville
50697.53,3.91,7.89,2.79,30927.0,3135420.05,South Anthony
72142.15,4.86,6.93,3.14,26707.54,3910117.85,South Anthony
62908.46,6.42,6.84,2.0,42510.6,4089902.72,New Deniseton
91151.62,7.1,7.43,2.54,44395.39,4847432.88,Port Adamtown
70688.01,7.28,8.54,5.27,37196.41,4456907.28,South Anthony
93125.94,5.09,6.87,3.23,34002.14,4342806.58,Rebeccaville
76352.21,6.26,8.73,2.55,54281.65,4739053.14,Port Adamtown
59385.04,5.42,7.97,6.56,44025.22,3919498.52,South Anthony
71840.12,6.16,5.99,3.13,42382.79,3984032.56,New Deniseton
71174.54,6.95,7.43,4.11,36490.11,4369858.35,Rebeccaville
77792.41,5.67,5.99,3.61,43386.66,4195176.36,Rebeccaville
51948.15,6.31,7.08,3.17,22034.58,3326057.36,Lake Christinaport
65898.53,8.12,6.78,4.96,37457.26,4375572.7,East Lucas
62421.97,6.58,6.18,2.92,30718.66,3954277.27,New Deniseton
71108.66,6.01,8.28,4.19,46132.42,4348423.66,North Jasonville
70722.72,6.63,7.18,2.0,27442.42,4126756.13,New Deniseton
72076.84,6.83,7.9,5.51,40804.89,4535071.41,Lake Kathleen
75770.99,3.61,7.17,3.06,19992.14,3687964.81,New Deniseton
66728.08,5.6,6.71,3.67,29858.98,3693743.39,New Michelleville
76896.95,7.57,6.8,4.38,38517.65,4337953.53,New Michelleville
